# spot,16.4500,ts,2026-06-30 23:06:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
130.00,78,P,102,0.004000,-0.9625,1.5080,109.25,109.40
140.00,78,C,386,0.003500,0.0251,1.8423,0.10,0.13
140.00,78,P,120,0.003500,-0.9656,1.7617,119.15,119.25
150.00,78,C,15912,0.003200,0.0225,1.8375,0.09,0.12
150.00,78,P,1,0.003200,-0.9681,1.5292,129.05,129.15
160.00,78,C,311,0.002900,0.0204,1.8724,0.08,0.11
170.00,78,C,443,0.002600,0.0185,1.9243,0.08,0.10
180.00,78,C,871,0.002400,0.0169,1.9532,0.07,0.09
190.00,78,C,900,0.002200,0.0156,1.9681,0.06,0.08
200.00,78,C,1059,0.002100,0.0144,1.8586,0.05,0.07
200.00,78,P,10,0.002100,-0.9762,0.0000,178.50,178.60
10.00,113,C,74,0.002000,0.9822,0.0000,10.15,10.45
10.00,113,P,207,0.002000,-0.0041,0.5311,0.00,0.02
10.50,113,P,1,0.002900,-0.0060,0.6908,0.00,0.03
11.00,113,C,45,0.004100,0.9777,0.0000,9.20,9.45
11.00,113,P,10,0.004100,-0.0086,0.6552,0.00,0.03
11.50,113,C,2,0.005600,0.9744,0.0000,8.70,8.95
11.50,113,P,204,0.005600,-0.0119,0.6206,0.00,0.03
12.00,113,C,14,0.007400,0.9700,0.4313,8.20,8.45
12.00,113,P,257,0.007400,-0.0162,0.5867,0.00,0.04
12.50,113,C,1,0.009600,0.9646,0.3740,7.75,7.90
12.50,113,P,318,0.009600,-0.0217,0.5483,0.00,0.05
13.00,113,C,16,0.012300,0.9579,0.2998,7.30,7.45
13.00,113,P,1988,0.012300,-0.0284,0.5212,0.02,0.06
13.50,113,C,25,0.015500,0.9498,0.4051,6.80,6.95
13.50,113,P,177,0.015500,-0.0365,0.4982,0.04,0.08
14.00,113,C,98,0.019500,0.9388,0.4253,6.35,6.50
14.00,113,P,94,0.019500,-0.0475,0.4779,0.08,0.12
14.50,113,C,17,0.024800,0.9210,0.4469,5.95,6.10
14.50,113,P,578,0.024800,-0.0652,0.4817,0.15,0.16
15.00,113,C,355,0.030700,0.8951,0.4670,5.55,5.70
15.00,113,P,15649,0.030700,-0.0912,0.4474,0.22,0.26
16.00,113,C,370,0.040600,0.8310,0.5113,4.85,4.95
16.00,113,P,20014,0.040600,-0.1553,0.5274,0.50,0.57
17.00,113,C,719,0.046500,0.7637,0.5479,4.25,4.40
17.00,113,P,16301,0.046500,-0.2226,0.5664,0.92,0.97
18.00,113,C,515,0.049300,0.7002,0.5893,3.80,3.90
18.00,113,P,4259,0.049300,-0.2861,0.5987,1.43,1.48
19.00,113,C,546,0.050100,0.6427,0.5821,3.40,3.55
19.00,113,P,1184,0.050100,-0.3436,0.6375,2.03,2.08
20.00,113,C,9103,0.049700,0.5913,0.6658,3.10,3.20
20.00,113,P,44978,0.049700,-0.3950,0.6769,2.68,2.75
21.00,113,C,4283,0.048600,0.5457,0.6961,2.83,2.90
21.00,113,P,27438,0.048600,-0.4406,0.7067,3.35,3.45
22.00,113,C,11141,0.047000,0.5053,0.7306,2.59,2.66
22.00,113,P,9038,0.047000,-0.4810,0.7420,4.10,4.25
23.00,113,C,9812,0.045300,0.4695,0.7569,2.38,2.45
